,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
263,ui,ə,22,0.0002500454628114203,0.00025001420665483876,0.00027912806955679106
264,ui,ɪ,137,0.002880390219288102,0.002876249844072565,0.0036290124767412927
265,ui,i,70,0.0021863385076678014,0.002183951947551792,0.0023903513662015207
266,ui,aɪ,43,0.003767963547143358,0.003760882554205183,0.004483479713316133
267,ui,u,139,0.01958298112144266,0.019393701659685996,0.022327923297300267
268,hn,n,349,0.00600926356388932,0.00599127994915648,0.008057321830481263
269,j,j,291,0.12916111850865514,0.12147498402776839,0.14240951538786328
270,j,h,48,0.00557815223707147,0.005562651961099036,0.007911846775960603
271,j,ʒ,67,0.134,0.12575120530556025,0.1395422865420232
272,hw,w,127,0.01496229971724788,0.014851468668210884,0.01836639270876371
273,aie,aɪ,4,0.0003505082369435682,0.00035044682328165316,0.0004177799226999351
274,gn,n,194,0.003340392926631885,0.0033348262074212854,0.004484812632682868
275,ke,k,720,0.019049634881998095,0.018870462457658114,0.02173371673455705
276,ais,aɪ,1,8.762705923589205e-05,8.76232202093291e-05,0.00010445870738098194
277,ais,eɪ,30,0.0023430178069353325,0.002340277220706864,0.00274830292759967
278,sle,l,17,0.00038046640705429477,0.00038039404806377165,0.0004966306986239106
279,kk,k,72,0.0019049634881998095,0.00190315134626529,0.002191920434145732
280,augh,ɔ,135,0.011126679304376493,0.011065233182269141,0.013392381032710317
281,ar,ɑ,21,0.0009039645301536739,0.0009035562002763569,0.0011051944402786867
282,ar,æ,2,9.811616954474098e-05,9.81113564682655e-05,0.00014048596936476444
283,lh,l,13,0.00029094489951210777,0.00029090258325241604,0.0003797934112994524
284,ld,d,24,0.0007419773696902244,0.0007417022405662503,0.0009836250781280218
285,eg,eɪ,3,0.00023430178069353328,0.00023427433631815543,0.00027511990403008066
286,er,eɪ,31,0.0024211184004998437,0.0024181922154871186,0.0028398023475674507
287,lm,m,193,0.00725673033538878,0.00723052695866998,0.009875420123939103
288,ln,n,35,0.000602648208412969,0.0006024666889059944,0.0008102221972357461
289,oe,oʊ,496,0.02683547043228913,0.026481714054239203,0.03479997243211166
290,oe,i,11,0.0003435674797763688,0.0003435084739842774,0.0003759725350232984
291,oe,u,28,0.0039447731755424065,0.003937012959339599,0.004532673798903587
292,oe,ə,9,0.00010229132569558102,0.00010228609429470569,0.00011419719073165126
293,oe,ɪ,2,4.204949225238105e-05,4.2048608197277244e-05,5.3053431395049384e-05
294,oe,ɛ,8,0.00031060723714862557,0.0003105590087071891,0.0004130350508070484
295,al,ɔ,5,0.0004120992334954257,0.0004120143439275259,0.0004986657754001384
296,al,æ,1,4.905808477237049e-05,4.905688146380476e-05,7.024470759084995e-05
297,al,eɪ,2,0.00015620118712902218,0.00015618898899379677,0.00018342043067053017
298,ough,oʊ,54,0.0029216036357734136,0.0029173440464087567,0.0038337205885567625
299,ough,aʊ,64,0.019076005961251863,0.018896340233519066,0.02177942578619805
300,ough,u,7,0.0009861932938856016,0.0009857073247591282,0.0011348425342934353
301,ough,ə,3,3.409710856519367e-05,3.4096527272085904e-05,3.8067028123674105e-05
302,mb,m,129,0.004850353436607008,0.004838628370900511,0.006608576146577721
303,mh,m,4,0.00015039855617386073,0.00015038724744495015,0.00020539820379493527
304,tte,t,344,0.0072509590658066695,0.007224797251493988,0.009465183598208726
305,gue,ɡ,79,0.006161285290906255,0.006142382177934027,0.00843954809843963
306,que,k,94,0.002487035665149751,0.002483948110130049,0.0028608426915894764
307,sw,s,14,0.0002968365702654567,0.0002967925230069765,0.00037343102363286755
308,ct,t,14,0.0002950971712828296,0.0002950536386765047,0.00038654882125794697
309,kn,n,274,0.004717874545861528,0.004706780256372501,0.006329873354739119
310,wh,w,716,0.08435438265786993,0.08098477086143738,0.10015158354366215
311,wh,h,76,0.008832074375363161,0.008793299746168175,0.012506847585163386
312,ao,aʊ,89,0.02652757078986587,0.026181816141839166,0.030176474098279678
313,aou,aʊ,3,0.0008941877794336811,0.0008937882317040113,0.0010301568568523553
314,rt,r,70,0.0009732766052112011,0.0009728032786297297,0.0013537377107752735
315,chi,ʃ,10,0.0011770244821092278,0.0011763323318587583,0.0013207462393069486
316,ps,s,99,0.0020990586040200154,0.0020968586585135046,0.002638314696505118
317,rre,r,49,0.0006812936236478408,0.0006810616485031051,0.0009477546562549703
318,ge,ʒ,20,0.04,0.03922071315328133,0.04352203209439686
